human_gene,marker_class,marker_subclass,pathway_sources,n_external_sources,n_zebrafish_orthologs_in_all_genes
KIF11,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;previous_reviewed_core_panel,1,1
KIF20B,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,2
KIF23,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,1
KIF2C,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,1
LBR,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,1
MAD2L1,proliferation,G2M_phase,KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,1
MKI67,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;previous_reviewed_core_panel,1,1
NCAPD2,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,1
NDC80,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,3,1
NEK2,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,1
PLK1,proliferation,G2M_phase,KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,1
RANGAP1,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,2
SMC4,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,1
TACC3,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
TMPO,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication,2,2
TOP2A,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,1
TPX2,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,1
TTK,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;KEGG_hsa04110_Cell_cycle,2,1
UBE2C,proliferation,G2M_phase,Seurat_cc.genes.updated.2019/Tirosh2016;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,1
ATAD2,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
BLM,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
CASP8AP2,proliferation,S_phase,Seurat_cc.genes.updated.2019/Tirosh2016,1,1
CCNE1,proliferation,S_phase,KEGG_hsa04110_Cell_cycle;Reactome_Cell_Cycle_Mitotic_or_DNA_Replication;previous_reviewed_core_panel,2,1
