official_fine_cell_type,gene,n_independent_fish,mean_within_fish_log2cpm_difference,sd_within_fish_log2cpm_difference,t_statistic,p_value,fdr_bh
erythroblast,ABCC5,21,1.9063180411834602,1.923936934290854,4.5406097085001935,0.00019902981528581687,0.0016387704028710643
erythroblast,iba57,21,1.9015656753506693,0.8458451088912331,10.302203742298643,1.913226509579262e-09,1.9087043378293473e-07
erythroblast,ano1,21,1.888550254030087,1.7870449267313675,4.842869008699469,9.872179065452456e-05,0.0009103974207081955
erythroblast,nrbp2a,21,1.8770874954760626,0.9868618653373252,8.716412941069386,3.022447878592776e-08,1.3527056696442546e-06
erythroblast,glrx5,21,1.8691147409250937,0.8267606768626027,10.360144141531869,1.7393874396929759e-09,1.7674109039991405e-07
erythroblast,si:ch73-55i23.1,21,1.860185289010132,2.095801982799684,4.067388027825431,0.000600953664289353,0.004125916861806407
erythroblast,cyp2ad3,21,1.849746884948499,1.8147171228689802,4.6710338542373835,0.00014697510576862087,0.0012764362224634738
erythroblast,aldh1l2,21,1.8398799572884637,0.9834620657459916,8.573171724230145,3.937762917171263e-08,1.6635480079107447e-06
erythroblast,egln2,21,1.8247478936712855,1.112589343747365,7.5158416660681775,3.016057842509648e-07,7.828339348084408e-06
erythroblast,glcci1a,21,1.8209066716710207,1.3903097677451866,6.001858614512667,7.214212570585572e-06,0.00010303067250078872
erythroblast,CR388184.1,21,1.7964807991723784,1.8094125489835138,4.549824334625632,0.0001948063418961269,0.001610277791479434
erythroblast,gpr78a,21,1.787623919087061,1.5105384905189352,5.423179862511012,2.6190161697646387e-05,0.0002990125202559004
erythroblast,ccn1,21,1.787216479437511,1.436063382749778,5.703129053128938,1.3970218715998402e-05,0.00017793544590223592
